"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.08260038753717e-12,3957,91,52,0.571428571428571,0.013141268637857,"GO:0042221","GO:BP","response to chemical",21031,10394,"GO:0050896"
"query_1",TRUE,2.19015745718156e-12,415,91,20,0.21978021978022,0.0481927710843374,"GO:0045088","GO:BP","regulation of innate immune response",21031,11660,"GO:0002831, GO:0031347, GO:0032101, GO:0045087, GO:0050776"
"query_1",TRUE,7.60088621864552e-12,88,91,12,0.131868131868132,0.136363636363636,"GO:0034340","GO:BP","response to type I interferon",21031,8869,"GO:0034097, GO:0045087"
"query_1",TRUE,1.28133755208146e-11,2683,91,42,0.461538461538462,0.0156541185240403,"GO:0070887","GO:BP","cellular response to chemical stimulus",21031,16854,"GO:0042221, GO:0051716"
"query_1",TRUE,3.63744789442724e-11,51,91,10,0.10989010989011,0.196078431372549,"GO:0140374","GO:BP","antiviral innate immune response",21031,20319,"GO:0045087, GO:0051607"
"query_1",TRUE,1.38372298665728e-10,82,91,11,0.120879120879121,0.134146341463415,"GO:0071357","GO:BP","cellular response to type I interferon",21031,17109,"GO:0034340, GO:0071345"
"query_1",TRUE,3.87314962603451e-10,1340,91,29,0.318681318681319,0.0216417910447761,"GO:0080134","GO:BP","regulation of response to stress",21031,18338,"GO:0006950, GO:0048583"
"query_1",TRUE,6.1762728647062e-10,881,91,24,0.263736263736264,0.0272417707150965,"GO:0050776","GO:BP","regulation of immune response",21031,13679,"GO:0002682, GO:0006955, GO:0048583"
"query_1",TRUE,8.23913423254796e-10,369,91,17,0.186813186813187,0.046070460704607,"GO:0002833","GO:BP","positive regulation of response to biotic stimulus",21031,1350,"GO:0002831, GO:0009607, GO:0048584"
"query_1",TRUE,2.52576948478288e-09,106,91,11,0.120879120879121,0.10377358490566,"GO:0140888","GO:BP","interferon-mediated signaling pathway",21031,20489,"GO:0019221"
"query_1",TRUE,3.81023327241514e-09,1054,91,25,0.274725274725275,0.023719165085389,"GO:0002684","GO:BP","positive regulation of immune system process",21031,1209,"GO:0002376, GO:0002682, GO:0048518"
"query_1",TRUE,3.95920229656416e-09,345,91,16,0.175824175824176,0.0463768115942029,"GO:0045089","GO:BP","positive regulation of innate immune response",21031,11661,"GO:0002833, GO:0031349, GO:0032103, GO:0045087, GO:0045088, GO:0050778"
"query_1",TRUE,4.81254630799057e-09,81,91,10,0.10989010989011,0.123456790123457,"GO:0060337","GO:BP","type I interferon-mediated signaling pathway",21031,15015,"GO:0071357, GO:0140888"
"query_1",TRUE,6.5808646639599e-09,718,91,21,0.230769230769231,0.0292479108635097,"GO:0050778","GO:BP","positive regulation of immune response",21031,13681,"GO:0002684, GO:0006955, GO:0048584, GO:0050776"
"query_1",TRUE,7.89482891721822e-09,1512,91,29,0.318681318681319,0.0191798941798942,"GO:0002682","GO:BP","regulation of immune system process",21031,1207,"GO:0002376, GO:0050789"
"query_1",TRUE,1.20006693675624e-08,5874,91,57,0.626373626373626,0.00970377936670072,"GO:0048519","GO:BP","negative regulation of biological process",21031,13227,"GO:0008150, GO:0050789"
"query_1",TRUE,2.64487349417044e-08,773,91,21,0.230769230769231,0.0271668822768435,"GO:0001817","GO:BP","regulation of cytokine production",21031,479,"GO:0001816, GO:0010468, GO:0051239"
"query_1",TRUE,2.78462030933911e-08,609,91,19,0.208791208791209,0.0311986863711002,"GO:0032103","GO:BP","positive regulation of response to external stimulus",21031,7634,"GO:0009605, GO:0032101, GO:0048584"
"query_1",TRUE,3.05704544734258e-08,779,91,21,0.230769230769231,0.0269576379974326,"GO:0001816","GO:BP","cytokine production",21031,478,"GO:0010467, GO:0032501"
"query_1",TRUE,3.85476981507718e-08,279,91,14,0.153846153846154,0.050179211469534,"GO:0002218","GO:BP","activation of innate immune response",21031,760,"GO:0002253, GO:0045089"
"query_1",TRUE,4.01596253124293e-08,471,91,17,0.186813186813187,0.0360934182590234,"GO:0031349","GO:BP","positive regulation of defense response",21031,7397,"GO:0006952, GO:0031347, GO:0048584"
"query_1",TRUE,7.40958256126897e-08,3939,91,45,0.494505494505495,0.0114242193450114,"GO:0048583","GO:BP","regulation of response to stimulus",21031,13279,"GO:0050789, GO:0050896"
"query_1",TRUE,8.64110115704467e-08,146,91,11,0.120879120879121,0.0753424657534247,"GO:0034341","GO:BP","response to type II interferon",21031,8870,"GO:0034097, GO:0045087"
"query_1",TRUE,8.79449159933715e-08,241,91,13,0.142857142857143,0.053941908713693,"GO:0002221","GO:BP","pattern recognition receptor signaling pathway",21031,762,"GO:0002758"
"query_1",TRUE,1.3003490484792e-07,112,91,10,0.10989010989011,0.0892857142857143,"GO:0002832","GO:BP","negative regulation of response to biotic stimulus",21031,1349,"GO:0002831, GO:0009607, GO:0048585"
"query_1",TRUE,1.99800391190681e-07,2799,91,37,0.406593406593407,0.0132190067881386,"GO:0007166","GO:BP","cell surface receptor signaling pathway",21031,2761,"GO:0007165"
"query_1",TRUE,2.05583407444141e-07,258,91,13,0.142857142857143,0.0503875968992248,"GO:0002758","GO:BP","innate immune response-activating signaling pathway",21031,1276,"GO:0002218, GO:0002757"
"query_1",TRUE,2.60187598821848e-07,531,91,17,0.186813186813187,0.032015065913371,"GO:0002253","GO:BP","activation of immune response",21031,792,"GO:0002376, GO:0050778"
"query_1",TRUE,2.61487540048121e-07,34,91,7,0.0769230769230769,0.205882352941176,"GO:0035456","GO:BP","response to interferon-beta",21031,9351,"GO:0034097"
"query_1",TRUE,3.05735028423373e-07,122,91,10,0.10989010989011,0.0819672131147541,"GO:0032479","GO:BP","regulation of type I interferon production",21031,7862,"GO:0001817, GO:0032606"
"query_1",TRUE,3.05735028423373e-07,122,91,10,0.10989010989011,0.0819672131147541,"GO:0032606","GO:BP","type I interferon production",21031,7930,"GO:0001816"
"query_1",TRUE,3.95655677003179e-07,59,91,8,0.0879120879120879,0.135593220338983,"GO:0032608","GO:BP","interferon-beta production",21031,7932,"GO:0032606"
"query_1",TRUE,3.95655677003179e-07,59,91,8,0.0879120879120879,0.135593220338983,"GO:0032648","GO:BP","regulation of interferon-beta production",21031,7971,"GO:0032479, GO:0032608"
"query_1",TRUE,4.20486061962305e-07,169,91,11,0.120879120879121,0.0650887573964497,"GO:0060759","GO:BP","regulation of response to cytokine stimulus",21031,15400,"GO:0034097, GO:0048583"
"query_1",TRUE,4.87929935222209e-07,20,91,6,0.0659340659340659,0.3,"GO:0035455","GO:BP","response to interferon-alpha",21031,9350,"GO:0034097"
"query_1",TRUE,1.42043486692075e-06,2274,91,32,0.351648351648352,0.0140721196130167,"GO:0048584","GO:BP","positive regulation of response to stimulus",21031,13280,"GO:0048518, GO:0048583, GO:0050896"
"query_1",TRUE,3.30735907371451e-06,465,91,15,0.164835164835165,0.032258064516129,"GO:0002757","GO:BP","immune response-activating signaling pathway",21031,1275,"GO:0002253, GO:0002764"
"query_1",TRUE,5.0459533275253e-06,829,91,19,0.208791208791209,0.02291917973462,"GO:0006954","GO:BP","inflammatory response",21031,2616,"GO:0006952"
