Patient_ID	Cluster_5000
SRR8908217	1343
SRR8908218	1343
SRR8908219	2671
SRR8908220	1343
SRR8908221	1343
SRR8908222	1343
SRR8908223	322
SRR8908224	2671
SRR8908225	1343
SRR8908226	2671
SRR8908227	1343
SRR8908228	642
SRR8908229	4873
SRR8908230	642
SRR8908231	2671
SRR8908232	642
SRR8908233	2671
SRR8908234	642
SRR8908235	2671
SRR8908236	322
SRR8908237	1343
SRR8908238	642
SRR8908239	642
SRR8908240	1343
SRR8908241	642
SRR8908242	642
SRR8908243	642
SRR8908244	1343
SRR8908245	642
SRR8908246	1343
SRR8908247	1343
SRR8908248	4873
SRR8908249	1343
SRR8908250	642
SRR8908251	642
SRR8908252	2671
SRR8908253	2671
SRR8908254	1343
SRR8908255	642
SRR8908256	2671
SRR8908257	1343
SRR8908258	1343
SRR8908259	642
SRR8908260	1343
SRR8908261	1343
SRR8908262	1343
SRR8908263	4873
SRR8908264	642
SRR8908265	2671
SRR8908266	2671
SRR8908267	1343
SRR8908268	2671
SRR8908269	2671
SRR8908270	1343
SRR8908271	1343
SRR8908272	1343
SRR8908273	1343
SRR8908274	1343
SRR8908275	642
SRR8908276	2671
SRR8908277	2671
SRR8908278	2671
SRR8908279	1343
SRR8908280	1343
SRR8908281	1343
SRR8908282	2671
SRR8908283	2671
SRR8908284	4873
SRR8908285	642
SRR8908286	1343
SRR8908287	642
SRR8908288	1343
SRR8908289	642
SRR8908290	642
SRR8908291	1343
SRR8908292	1343
SRR8908293	1343
SRR8908294	1343
SRR8908295	2671
SRR8908296	1343
SRR8908297	1343
SRR8908298	2671
SRR8908299	2671
SRR8908300	2671
SRR8908301	1343
SRR8908302	1343
SRR8908303	1343
SRR8908304	1343
SRR8908305	4873
SRR8908306	1343
SRR8908307	4873
SRR8908308	1343
SRR8908309	1343
SRR8908310	2671
SRR8908311	1343
SRR8908312	642
SRR8908313	642
SRR8908314	642
SRR8908315	1343
SRR8908316	1343
SRR8908317	4873
SRR8908318	1343
SRR8908319	2671
SRR8908320	2671
SRR8908321	1343
SRR8908322	2671
SRR8908323	1343
SRR8908324	1343
SRR8908325	642
SRR8908326	1343
SRR8908327	1343
SRR8908328	1343
SRR8908329	2671
SRR8908330	642
SRR8908331	2671
SRR8908332	1343
SRR8908333	1343
SRR8908334	642
SRR8908335	1343
SRR8908336	1343
SRR8908337	642
SRR8908338	1343
SRR8908339	1343
SRR8908340	2671
SRR8908341	2671
SRR8908342	1343
SRR8908343	4873
SRR8908344	2671
SRR8908345	1343
SRR8908346	2671
SRR8908347	642
SRR8908348	1343
SRR8908349	2671
SRR8908350	1343
SRR8908351	642
SRR8908352	2671
SRR8908353	2671
SRR8908354	2671
SRR8908355	1343
SRR8908356	1343
SRR8908357	1343
SRR8908358	1343
SRR8908359	1343
SRR8908360	2671
SRR8908361	1343
SRR8908362	642
SRR8908363	1343
SRR8908364	642
SRR8908365	1343
SRR8908366	1343
SRR8908367	1343
SRR8908368	1343
SRR8908369	2671
SRR8908370	1343
SRR8908371	2671
SRR8908372	2671
SRR8908373	1343
SRR8908374	2671
SRR8908375	1343
SRR8908376	1343
SRR8908377	2671
SRR8908378	2671
SRR8908379	1343
SRR8908380	1343
SRR8908381	1343
SRR8908382	2671
SRR8908383	2671
SRR8908384	4873
SRR8908385	1343
SRR8908386	2671
SRR8908387	2671
SRR8908388	2671
SRR8908389	1343
SRR8908390	1343
SRR8908391	1343
SRR8908392	2671
SRR8908393	642
SRR8908394	2671
SRR8908395	1343
SRR8908396	1343
SRR8908397	1343
SRR8908398	1343
SRR8908399	1343
SRR8908400	1343
SRR8908401	1343
SRR8908402	2671
SRR8908403	1343
SRR8908404	2671
SRR8908405	2671
SRR8908406	1343
SRR8908407	2671
SRR8908408	642
SRR8908409	2671
SRR8908410	642
SRR8908411	2671
SRR8908412	1343
SRR8908413	1343
SRR8908414	2671
SRR8908415	2671
SRR8908416	1343
SRR8908417	642
SRR8908418	642
SRR8908419	2671
SRR8908420	1343
SRR8908421	2671
SRR8908422	2671
SRR8908423	1343
SRR8908424	1343
SRR8908425	1343
SRR8908426	1343
SRR8908427	2671
SRR8908428	1343
SRR8908429	1343
SRR8908430	2671
SRR8908431	2671
SRR8908432	1343
SRR8908433	2671
SRR8908434	1343
SRR8908435	2671
SRR8908436	1343
SRR8908437	1343
SRR8908438	1343
SRR8908439	4873
SRR8908440	1343
SRR8908441	2671
SRR8908442	1343
SRR8908443	2671
SRR8908444	1343
SRR8908445	1343
SRR8908446	2671
SRR8908447	1343
SRR8908448	4873
SRR8908449	1343
SRR8908450	2671
SRR8908451	2671
SRR8908452	1343
SRR8908453	1343
SRR8908454	1343
SRR8908455	1343
SRR8908456	2671
SRR8908457	1343
SRR8908458	2671
SRR8908459	1343
SRR8908460	2671
SRR8908461	4873
SRR8908462	4873
SRR8908463	1343
SRR8908464	1343
SRR8908465	1343
SRR8908466	1343
SRR8908467	1343
SRR8908468	2671
SRR8908469	2671
SRR8908470	1343
SRR8908471	1343
SRR8908472	642
SRR8908473	1343
SRR8908474	1343
SRR8908475	2671
SRR8908476	1343
SRR8908477	4873
SRR8908478	4873
SRR8908479	4873
SRR8908480	1343
SRR8908481	4873
SRR8908482	1343
SRR8908483	2671
SRR8908484	2671
SRR8908485	1343
SRR8908486	4873
SRR8908487	1343
SRR8908488	2671
SRR8908489	1343
SRR8908490	4873
SRR8908491	1343
SRR8908492	1343
SRR8908493	1343
SRR8908494	2671
SRR8908495	1343
SRR8908496	1343
SRR8908497	2671
SRR8908498	1343
SRR8908499	1343
SRR8908500	4873
SRR8908501	642
SRR8908502	4873
SRR8908503	2671
SRR8908504	1343
SRR8908505	1343
SRR8908506	1343
SRR8908507	2671
SRR8908508	1343
SRR8908509	2671
SRR8908510	1343
SRR8908511	2671
SRR8908512	2671
SRR8908513	2671
SRR8908514	2671
SRR8908515	1343
SRR8908516	1343
SRR8908517	1343
SRR8908518	1343
SRR8908519	2671
SRR8908520	642
SRR8908521	1343
SRR8908522	642
SRR8908523	2671
SRR8908524	1343
SRR8908525	1343
SRR8908526	2671
SRR8908527	2671
SRR8908528	2671
SRR8908529	1343
SRR8908530	1343
SRR8908531	2671
SRR8908532	1343
SRR8908533	2671
SRR8908534	2671
SRR8908535	4873
SRR8908536	2671
SRR8908537	2671
SRR8908538	2671
SRR8908539	2671
SRR8908540	1343
SRR8908541	1343
SRR8908542	2671
SRR8908543	2671
SRR8908544	1343
SRR8908545	1343
SRR8908546	2671
SRR8908547	2671
SRR8908548	2671
SRR8908549	1343
SRR8908550	1343
SRR8908551	2671
SRR8908552	642
SRR8908553	2671
SRR8908554	1343
SRR8908555	2671
SRR8908556	2671
SRR8908557	2671
SRR8908558	1343
SRR8908559	2671
SRR8908560	1343
SRR8908561	4873
SRR8908562	2671
SRR8908563	1343
SRR8908564	1343
SRR8908565	1343
SRR8908566	1343
SRR8908567	2671
SRR8908568	2671
SRR8908569	2671
SRR8908570	2671
SRR8908571	2671
SRR8908572	1343
SRR8908573	2671
SRR8908574	1343
SRR8908575	1343
SRR8908576	2671
SRR8908577	1343
SRR8908578	4873
SRR8908579	1343
SRR8908580	2671
SRR8908581	2671
SRR8908582	1343
SRR8908583	4873
SRR8908584	2671
SRR8908585	2671
SRR8908586	1343
SRR8908587	1343
SRR8908588	2671
SRR8908589	2671
SRR8908590	1343
SRR8908591	1343
SRR8908592	2671
SRR8908593	2671
SRR8908594	2671
SRR8908595	1343
SRR8908596	2671
SRR8908597	1343
SRR8908598	1343
SRR8908599	1343
SRR8908600	1343
SRR8908601	1343
SRR8908602	2671
SRR8908603	2671
SRR8908604	642
SRR8908605	1343
SRR8908606	1343
SRR8908607	1343
SRR8908608	2671
SRR8908609	2671
SRR8908610	1343
SRR8908611	2671
SRR8908612	2671
SRR8908613	4873
SRR8908614	4873
SRR8908615	1343
SRR8908616	4873
SRR8908617	1343
SRR8908618	1343
SRR8908619	2671
SRR8908620	2671
SRR8908621	1343
SRR8908622	2671
SRR8908623	2671
SRR8908624	2671
SRR8908625	1343
SRR8908626	1343
SRR8908627	1343
SRR8908628	1343
SRR8908629	4873
SRR8908630	2671
SRR8908631	1343
SRR8908632	1343
SRR8908633	2671
SRR8908634	1343
SRR8908635	2671
SRR8908636	1343
SRR8908637	2671
SRR8908638	1343
SRR8908639	4873
SRR8908640	4873
SRR8908641	4873
SRR8908642	2671
SRR8908643	2671
SRR8908644	1343
SRR8908645	2671
SRR8908646	1343
SRR8908647	1343
SRR8908648	2671
SRR8908649	4873
SRR8908650	4873
SRR8908651	2671
SRR8908652	2671
SRR8908653	1343
SRR8908654	4873
SRR8908655	1343
SRR8908656	4873
SRR8908657	2671
SRR8908658	1343
SRR8908659	1343
SRR8908660	1343
SRR8908661	2671
SRR8908662	1343
SRR8908663	1343
SRR8908664	2671
SRR8908665	2671
SRR8908666	2671
SRR8908667	1343
SRR8908668	2671
SRR8908669	4873
SRR8908670	2671
SRR8908671	1343
SRR8908672	2671
SRR8908673	2671
SRR8908674	2671
SRR8908675	1343
SRR8908676	2671
SRR8908677	2671
SRR8908678	1343
SRR8908679	2671
SRR8908680	4873
SRR8908681	1343
SRR8908682	2671
SRR8908683	2671
SRR8908684	2671
SRR8908685	2671
SRR8908686	1343
SRR8908687	1343
SRR8908688	2671
SRR8908689	2671
SRR8908690	1343
SRR8908691	1343
SRR8908692	2671
SRR8908693	322
SRR8908694	2671
SRR8908695	1343
SRR8908696	1343
SRR8908697	2671
SRR8908698	1343
SRR8908699	2671
SRR8908700	4873
SRR8908701	4873
SRR8908702	1343
SRR8908703	1343
SRR8908704	1343
SRR8908705	4873
SRR8908706	2671
SRR8908707	2671
SRR8908708	2671
SRR8908709	2671
SRR8908710	1343
SRR8908711	4873
SRR8908712	2671
SRR8908713	2671
SRR8908714	2671
SRR8908715	1343
SRR8908716	2671
SRR8908717	2671
SRR8908718	1343
SRR8908719	2671
SRR8908720	2671
SRR8908721	2671
SRR8908722	4873
SRR8908723	2671
SRR8908724	2671
SRR8908725	1343
SRR8908726	1343
SRR8908727	2671
SRR8908728	2671
SRR8908729	2671
SRR8908730	2671
SRR8908731	4873
SRR8908732	1343
SRR8908733	2671
SRR8908734	2671
SRR8908735	2671
SRR8908736	1343
SRR8908737	1343
SRR8908738	2671
SRR8908739	2671
SRR8908740	1343
SRR8908741	2671
SRR8908742	2671
SRR8908743	1343
SRR8908744	1343
SRR8908745	4873
SRR8908746	2671
SRR8908747	2671
SRR8908748	2671
SRR8908749	2671
SRR8908750	2671
SRR8908751	1343
SRR8908752	2671
SRR8908753	2671
SRR8908754	2671
SRR8908755	4873
SRR8908756	4873
SRR8908757	1343
SRR8908758	1343
SRR8908759	2671
SRR8908760	2671
SRR8908761	2671
SRR8908762	2671
SRR8908763	4873
SRR8908764	1343
SRR8908765	2671
SRR8908766	1343
SRR8908767	1343
SRR8908768	1343
SRR8908769	2671
SRR8908770	4873
SRR8908771	1343
SRR8908772	2671
SRR8908773	2671
SRR8908774	2671
SRR8908775	2671
SRR8908776	2671
SRR8908777	2671
SRR8908778	2671
SRR8908779	2671
SRR8908780	2671
SRR8908781	2671
SRR8908782	4873
SRR8908783	2671
SRR8908784	1343
SRR8908785	2671
SRR8908786	2671
SRR8908787	2671
SRR8908788	1343
SRR8908789	2671
SRR8908790	2671
SRR8908791	2671
SRR8908792	1343
SRR8908793	2671
SRR8908794	1343
SRR8908795	2671
SRR8908796	2671
SRR8908797	2671
SRR8908798	2671
SRR8908799	1343
SRR8908800	2671
SRR8908801	2671
SRR8908802	2671
SRR8908803	2671
SRR8908804	2671
SRR8908805	2671
SRR8908806	2671
SRR8908807	1343
SRR8908808	2671
SRR8908809	4873
SRR8908810	4873
SRR8908811	2671
SRR8908812	2671
SRR8908813	2671
SRR8908814	4873
SRR8908815	1343
SRR8908816	4873
SRR8908817	4873
SRR8908818	2671
SRR8908819	2671
SRR8908820	2671
SRR8908821	1343
SRR8908822	2671
SRR8908823	2671
SRR8908824	2671
SRR8908825	4873
SRR8908826	2671
SRR8908827	4873
SRR8908828	2671
SRR8908829	2671
SRR8908830	1343
SRR8908831	2671
SRR8908832	4873
SRR8908833	4873
SRR8908834	1343
SRR8908835	1343
SRR8908836	1343
SRR8908837	2671
SRR8908838	1343
SRR8908839	4873
SRR8908840	2671
SRR8908841	2671
SRR8908842	2671
SRR8908843	2671
SRR8908844	4873
SRR8908845	2671
SRR8908846	2671
SRR8908847	2671
SRR8908848	2671
SRR8908849	2671
SRR8908850	1343
SRR8908851	2671
SRR8908852	2671
SRR8908853	2671
SRR8908854	2671
SRR8908855	2671
SRR8908856	2671
SRR8908857	2671
SRR8908858	2671
SRR8908859	2671
SRR8908860	4873
SRR8908861	1343
SRR8908862	1343
SRR8908863	4873
SRR8908864	2671
SRR8908865	1343
SRR8908866	2671
SRR8908867	4873
SRR8908868	2671
SRR8908869	2671
SRR8908870	2671
SRR8908871	2671
SRR8908872	2671
SRR8908873	2671
SRR8908874	1343
SRR8908875	2671
SRR8908876	1343
SRR8908877	2671
SRR8908878	4873
SRR8908879	4873
SRR8908880	2671
SRR8908881	2671
SRR8908882	1343
SRR8908883	2671
SRR8908884	2671
SRR8908885	4873
SRR8908886	4873
SRR8908887	4873
SRR8908888	4873
SRR8908889	1343
SRR8908890	2671
SRR8908891	2671
SRR8908892	2671
SRR8908893	2671
SRR8908894	2671
SRR8908895	2671
SRR8908896	4873
SRR8908897	2671
SRR8908898	2671
SRR8908899	1343
